"Pt15.baseline"	"Pt19.baseline"	"Pt1.baseline"	"Pt22.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt23.baseline"	"Pt6.baseline"	"Pt8.baseline"	"Pt10.baseline"	"Pt32.baseline"	"Pt4.baseline"	"Pt20.baseline"	"Pt38.baseline"	"Pt14.baseline"	"Pt28.baseline"
"USP13"	1.30236584820434	1.57613027146745	3.70895970441307	2.02902169142284	3.8040070796413	1.81426739368877	2.17873535337964	1.93632133575357	2.13866377081419	2.34096383209035	2.3451380184367	1.76410831926598	1.69172398072645	2.10182149519039	2.9466588171495	0.653945087827298
"PITX2"	2.02546472736992	0.210428765571499	0.874243384060285	1.11178585827529	0.0478975869741595	0.128600254556521	1.06381491726055	0.464714787941295	2.13444274939475	1.10128364149288	2.6536447749485	2.21123185278916	1.57153362539326	0.260739899304729	0.226711849166761	1.59390588165094
"THBS4"	1.79689672722125	4.23925672874666	3.25173878279761	2.68959102512397	2.28775891437018	1.69177980415252	0.204416831203725	2.45918765139439	2.12960449601917	0.889316219838456	5.86950377801329	1.12007319590552	0.552026315345245	0.0826867863518437	3.06908773914814	0.538358374250336
"LGI1"	0.0233250542588154	0	0.143716013384125	0.0582560154385795	0	0.0109008339085592	0.010184953456441	0	0	0	0.0457356739555216	0.0666895711767608	0.0170856862591548	0.0423900925314824	0.00646047280920423	0.0191293479860816
"AGT"	1.16815099928735	1.30574585734855	0.352238179791596	0.692381666772789	2.01506396781716	0.850595823570973	0.40480886444292	1.80646223600165	6.01135809857486	2.26802560201469	1.92933653400689	0.319245652354712	1.09271148127735	1.07095942327708	0.418287653824201	2.21154025408816
"TNNT2"	1.58423616140651	3.07145807200737	0.046622087693175	0.0509783958725264	0.112878448843223	0	0	0	0	0.0350895913801911	0	0	0.0746376430992123	0.413106603086784	0	2.03427383054477
"CFAP61"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CELA2A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PYDC1"	0	0	0	0	0.0833447794404406	0	0.107426085118853	0.0413632018095426	0	0.0480990952056115	0	0	0.153266413150767	0	0	6.80199282871442
"MYLK4"	0.36342286081198	0.0100331672281446	0.182352874705054	0.436665042056768	0.152348938124628	0.660794022317473	0.203168573910847	0.578036837401331	0.125028796964505	0.312947993051396	0.522716665534237	0.301826417746681	0.285002647984711	0.150576572904846	0.242143941068856	0.511131489255022
