"Pt20.baseline"	"Pt29.baseline"	"Pt38.baseline"	"Pt13.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"
"TIMD4"	0.440916063778679	0.343154795463011	2.50503725197336	0.713279660465565	0.293575307638369	0.251646993918391	0.512367482369824	1.03596096836593
"CST7"	6.28811950834648	3.6768428367283	5.04471322569492	4.08372396639301	3.71093313738954	3.7061492460905	5.23470823711978	3.20687136178923
"FCRL6"	2.67956454747524	0.556457373909587	0.319357809481323	0.604086035286702	0.649557060345151	0.233575810494761	0.522162239432844	0.596759623686028
"WIPF1"	5.33442168193621	4.21354170192656	6.54131193845943	6.28146365400464	5.57514438975786	5.08008627025615	3.66601233281584	4.01579191595125
"TMEM155"	0.724746302699898	0.342679326144737	0.876026125760631	0.60915970404753	0.138899770147181	0.265122397462139	0.0468205619097414	0.195637368223513
"TMEM244"	0.217902576412165	0	0.305576023433773	0.229824763678865	0.386874390556994	0.19526002596544	0	0
"DOCK10"	3.74462935713862	2.55672491387585	3.95321866966928	3.35940169054018	3.38003535854679	3.09699043923274	1.59911304026898	3.6646591842645
"SIGLEC8"	1.68177757320335	0.69460388188507	1.75778280899902	0.169694151767304	1.00893358340447	2.94781387821316	0.773939375498704	1.05825760887717
"IL10RA"	5.10281137808169	4.16336991447478	5.08347294488805	4.47348171881866	4.86265223382194	3.92424243739629	3.56808684342661	3.85002927361382
"IKZF1"	3.88557436437143	2.47730171174079	5.49517388208642	2.7217051301052	3.11036825502972	2.33558472577368	2.05447343170624	2.7399377284246
"CCR5"	4.4096047786123	2.94204525991605	3.38318448307007	4.09772876920105	3.45392181958935	2.87062807986948	1.90342782232582	3.03560455637475
"SLAMF7"	6.23203231857203	3.85478861217141	4.32652296713685	3.06499404929525	5.20649671236302	3.85093940614951	3.33044079981706	3.69438992740731
"LAIR1"	4.60399420386288	4.18949250318054	4.84116301041455	4.63835771309346	4.50086896094879	4.48869816201728	3.662621382588	4.16047250258916
"CMKLR1"	3.51392652021313	3.23394786453271	3.15870864133109	3.42454054298404	3.89324570309532	3.25787884120803	2.52483723646748	3.03122931915932
"C1QC"	9.65881575256097	8.73698869964395	7.66154297275462	8.72252067097555	9.26241553915933	9.29752159890574	9.89201755272396	8.6912183314411
"FCGR3A"	7.43341435220163	7.32758857066994	3.03725393769074	7.54427671945958	6.54203744916443	6.88770803302981	5.69895742007726	6.84144483888643
"SRGN"	7.8432395740965	7.13891683634224	7.97915649604846	8.47627636568869	7.75772001623973	7.06496905210714	5.91704023637502	7.24986720322664
"HAVCR2"	4.24210704221451	3.46066787192219	3.56451230979655	4.56509446014856	4.13555949452328	4.59073673813273	3.17541920944553	3.75099231521594
"FCGR1A"	3.63105770550294	2.96168351649077	1.24744147114441	3.21530972268128	2.27534830585919	3.10614979288495	2.89668454201621	2.99581553192572
"FCER1G"	8.55991620781062	7.49029334133546	8.08042316371117	7.96548994485006	7.78421931572168	8.08494919647066	7.98602404086018	7.78144496116751
"TNFSF18"	0.231610706672125	0.55081006252363	0.176835923321228	0.382931699544155	0.420037681134688	0.0391480820455064	0.326129447266083	0.115165317429907
"HTRA4"	1.45444439902667	0.254262051954979	0.412920234136983	0.740410816787316	1.10377289207882	2.65723640569271	0.495103638726393	0.337350301908585
"C1QA"	10.2503635627633	8.80613229975098	8.08007134277669	8.44851074647661	9.00274330091327	9.10087123873596	10.2503635627633	8.18462247728853
"IL2RA"	1.44974359826768	2.32027092958544	2.99478244754365	2.06317329369916	1.98326726162587	1.15351676821311	1.3078947755125	2.06246541654846
"LCP2"	5.33654047892369	4.4937401891106	4.8275091166947	4.79972197299933	5.30683274401131	5.93305915328688	3.98100779018838	4.8269399320423
"LILRB1"	3.31484731203166	3.18616535833667	4.49357048382608	3.61085358241691	3.78383901740436	2.58513561373949	2.14394681369591	3.34849518000102
"CD86"	4.08499117073477	3.54456575353618	4.0176101809488	4.15212661891957	4.06953891772183	3.62417109705828	2.9031742396417	3.38039006499632
"CXCL11"	5.20812118221871	3.07743101565498	2.89921430811328	4.00098250137006	4.60020135234525	4.28915204771545	2.10282439280642	5.22070915427347
"IFNG"	4.00276101899272	1.43662826729284	1.83123680182394	2.1570469448842	1.62304042247906	2.03840808605555	0.912810794013455	1.49095514002218
"GBP5"	6.44067153599163	4.46614091971348	4.30073143254	4.47160043614777	4.08447676895554	4.29830272952387	3.46186247801178	4.9878688222349
"IDO1"	4.37689462152095	3.56774621360102	4.5692784148682	3.16941195199135	3.55205116130071	3.61261199537181	3.23746505736349	5.10179082611292
"CXCL9"	8.84493011389565	6.71769013031758	7.28613262949971	6.21654507926787	7.64529816394863	5.3326327540246	5.48933259150493	7.19700039552755
"CXCL10"	8.23361728025432	6.37545306050381	5.71347037613036	6.71088218180837	7.51745286922067	6.91062474351024	4.89128064647244	7.12918511645982
"GZMB"	5.27976656474643	2.08870472161143	6.31599183212798	4.15328652099086	2.95040588978898	3.40005763439108	3.62828367215651	3.45414166826245
"FASLG"	3.63101112713624	1.73582324889854	1.13956772331347	1.70512861743076	1.64665345871749	1.42784749563405	1.21433311050303	1.27459862353507
"GZMH"	5.4240621254159	1.9091298432063	3.94513946292512	2.91396742268902	2.45179005222459	2.81772966513634	3.20964909097613	2.54191622057758
"LAG3"	5.49526663902482	2.50233696728192	4.50175758573866	3.09911001572624	2.48630377070044	3.13140510257303	5.0789577438734	3.66226817461704
"NKG7"	7.88424685016006	4.43361715297061	6.72346299750765	5.46122403696108	4.61144389283976	4.87539427729371	6.94896287740785	4.75843110776239
"CD274"	2.93558421024385	1.67540948095381	3.13888653633681	1.97797225097424	2.20268413712361	1.55567874899069	0.994948587031072	2.04431367593773
"GZMA"	6.76649578089267	4.55392260249152	4.56090444858115	4.53631716284292	4.6160635755627	3.71391572110716	4.98350213484134	4.25168879947866
"CCL5"	8.86867287704402	5.60236631099956	7.53602180733962	6.29664186231138	6.07207577975997	6.54635045358919	6.96552457618026	5.67255121869425
"CXCR6"	4.75163242563818	2.83723483588434	2.78209608696002	2.61319215531879	2.17895042407836	2.50725931688664	2.7516929402129	2.04881858759806
"PRF1"	5.51064392183973	2.31854534034803	4.07786677838551	2.99928117848641	2.69992469507076	3.69402211899792	4.40570991767084	2.79854412035201
"FAM26F"	7.34690371782016	6.09173156461721	6.43915268909093	5.98177960359019	4.89321414731585	5.82854146120377	6.4057430989655	5.50259315799636
"GPR25"	0.0920308121797227	0.123623159934154	1.6823665411875	0.0328554327962242	0.214293938994828	0.129617221819242	0	0
"IL27"	0.929586885478024	0.368652705395176	0.268217583759712	0.472102481451355	0.651084765121945	1.05444147889694	0.947250585817089	0.499449976374835
"TBX21"	3.10719489218612	0.82001757581962	2.67917379339015	0.682849675063065	1.12106514820852	0.936926213665726	1.410373670726	1.02571630347152
"CD7"	5.55467633159698	3.28665718747656	5.81988017869973	3.72996599744693	3.18614713013692	3.72667320930085	5.20159269672931	3.26939227894041
