"Pt22.baseline"	"Pt38.baseline"	"Pt23.baseline"	"Pt20.baseline"	"Pt27A.baseline"	"Pt29.baseline"	"Pt13.baseline"	"Pt1.baseline"	"Pt32.baseline"	"Pt14.baseline"	"Pt2.baseline"	"Pt6.baseline"	"Pt9.baseline"
"RCSD1"	4.04973966269698	6.0559569817778	3.58501660077082	4.10908887919698	3.2090493544533	3.3700742837002	3.50796585098904	2.7573966769193	1.81230106065307	2.14302110439376	2.83937412945474	2.60292359249605	2.21731758556473
"CD180"	3.06406713972016	5.0398578069232	2.3004869157734	2.81054798591592	1.91259046985484	2.19535232329824	1.95551740014654	1.77275769122218	0.474770361906294	1.57042407003018	2.19219574372345	1.65663594254496	1.19499160562782
"KLHL6"	2.8127271900775	4.01132566847246	2.46983128824182	2.45909451323253	0.957158331695983	5.17517126919532	1.47092725747513	1.4407316587276	0.439944350755978	1.17866046938934	1.24679721277288	1.00263483902492	0.830431390377513
"CD52"	7.51248369751184	10.3627438310194	7.25366787540769	8.77919897196518	5.2038452126807	6.22934854316392	6.32768646608374	6.54645464088866	4.59795420739629	4.55206653605883	5.84831371364758	3.12980311779573	6.41394351048837
"BTK"	3.64748145182794	5.58515184202002	3.16304057166242	3.19512393175394	2.30394582687366	2.82118977147602	2.81803452045222	2.19168739673932	1.13779859028661	1.82558213003292	2.33116919326901	1.99674666397359	1.77950767869095
"PTPN7"	2.73509212076373	4.96024294050529	2.07056621893843	4.57928274578288	2.19652993464215	2.53758681353647	2.7939967740599	1.80678597584186	1.11507986668633	1.4575916654294	1.50274557784155	0.778620295616181	2.19027508369121
"WAS"	4.28110473161226	6.14776866173781	3.78476569631639	4.61523088679426	3.70665210732102	2.96055155790296	4.04285004685287	2.66023840174443	2.58857672982899	2.45017265726952	2.71365072991888	2.47379470292568	2.84441879724475
"DOCK2"	3.64935103653837	4.89739533753037	2.694709733045	3.59655951585696	3.06064405857375	2.81083791431955	3.08125780877799	2.33803355764955	1.10593950916238	2.07022959209776	2.23140629469407	2.20608053821136	2.40853253185677
"LILRA4"	1.17684294277397	4.63012585232438	1.30648099008195	1.03547752153895	0.726431042489852	0.563282621557811	1.13056850364957	0.585555326565594	0	0.329307330825371	1.03656663158435	0.0196715303602063	0.614970330102279
"EVI2B"	5.80560201359801	6.30726639504886	4.49621945118269	5.41919334489775	4.15712457643527	4.58513381058594	4.72090225765008	4.08144189426962	2.28918230224608	3.02743364390973	4.24248437233848	4.67820996893001	3.234974119643
"IL7R"	3.27197315684375	4.53567974119837	1.55185311976875	2.54199053816093	1.18827114584678	2.46506678259823	3.22024017063477	2.66791596185146	2.64314043551271	2.30134620177408	2.09577086182808	1.65269987180408	1.85260016774033
"IL21R"	1.2465753024812	3.78338331287888	0.771917684987713	3.00561916012841	0.965507630019885	1.30681634288462	1.83245258346476	0.80538202787693	1.64948670284426	1.3101510453647	1.47246437621833	0.231330408514881	1.35197878454501
"ARHGAP30"	4.43120506583067	6.23033368634698	3.74710269979434	4.91617804254471	3.79130877900635	3.54841812848721	3.92896717679879	2.9623324636045	2.98858653473142	3.64459466060326	2.83867146773166	2.82463854440552	2.93974562884493
"SNX20"	2.89525123410284	4.47666034837471	2.10130549570734	3.35871905980397	2.51767505655612	2.17629564205827	2.88990862178074	1.91279929967188	0.810075339407757	1.63259394857252	2.25878874525898	1.01532343067583	1.60153964160507
"BIN2"	3.60798122926484	4.61533978154449	2.9996627306143	4.09767399741968	2.73144068751968	2.91345624588635	2.8837175791714	2.46978310897163	1.53865238281203	2.00037505195599	2.48125889483643	2.09435769708748	2.14537095182838
"ITGAL"	3.58455969212759	5.31844700343671	2.43513116519251	4.76040193744292	3.02843742954078	2.93861890022493	2.9027605052926	2.35736620168281	1.28372623981189	2.09402488708305	2.72348101862525	1.07638122702636	2.29813627047896
"FGD2"	3.43929467097439	4.82297992157606	3.02916219718419	3.39320063133944	2.53517084549516	2.87639022940166	2.43307294825115	2.04837919233826	0.848182841933531	2.04866865028922	2.10826683953363	1.62535700171837	1.79962614323803
"NCF1"	3.66181229458248	6.96136865809797	4.40085894815979	5.14917399159212	3.7966029450833	3.13809605461886	3.64992580628705	2.14716177066737	1.90035483204547	2.49647001939197	2.83310463072606	1.88511161259374	2.62822417017168
