"Pt22.baseline"	"Pt9.baseline"	"Pt29.baseline"	"Pt10.baseline"	"Pt27B.baseline"	"Pt32.baseline"	"Pt4.baseline"	"Pt6.baseline"	"Pt20.baseline"	"Pt38.baseline"	"Pt1.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt23.baseline"
"SCN7A"	0.15813405310325	0.183539234987957	2.77411865371482	0.743659725766911	0.00664496874105787	0	0.0148261203726318	0.0343564557722043	0.0384431352327802	0.0142208018192786	0.0458755746110266	0.384983110945998	0.259570186388399	0.0423507961437875	0.264588673328279
"DES"	2.73955111020373	1.52925125056517	0.799034655035626	0.682288325698074	0.360347981161788	2.7927637497693	0.22000360883579	0.203040743520222	0.100678249031962	1.5599714081674	2.02456790919802	0.221650066826996	1.05371401374054	1.19890898668424	0.759897661380957
"CPED1"	2.81633653659604	0.68452343724404	2.15468527375141	2.02955183024732	0.75935954415298	3.05456893860194	1.83563106021353	1.58144043357911	3.45261520112355	0.287317437934566	1.56796154966294	1.07243169952742	1.68427790601492	2.74788468385916	1.05562603803087
"ACTG2"	6.24883081328113	3.07673694131041	1.82850769630506	3.99011985185699	0.361401183299143	3.26836851558642	4.06328289727513	2.62906863523726	0.630670593592574	0.920634780205626	5.27477788223119	2.26816786862959	2.20467286288984	3.43001959455941	2.86194941078304
"SVEP1"	1.67619743856813	0.607067023775597	0.633889172992412	0.991233935915324	0.155449136440666	2.35692130348085	0.411003680300104	0.219280058746851	0.41322144638048	1.06028262411316	2.00914290142173	0.6626917859694	0.829639329047988	0.809017185348404	0.477396013458856
"KIAA0408"	0.185454922164257	0.683766061259618	0.528535313553898	0.175030279590572	7.02592313982454e-07	0.000693310919951087	2.40929870661402e-06	1.23783181396202e-06	0.124698423324514	7.77610531395805e-06	0.156569160114179	0.0265158398980011	0.203628419	0.0279140906743908	0.775582417465199
"ACTA2"	9.26158722818011	6.16712204933588	5.77842018068731	7.08784468057878	3.60127457938293	6.46064756030701	6.37467784318398	5.3210171060817	4.57681234075926	6.01068810119537	7.9573487590538	6.32660925100527	7.17022553160503	6.01189588467112	7.85997886311245
"F10"	1.44254280213848	1.50473732858397	1.08914285699877	0.238094077394808	0.276565746597252	0.843479013401114	0.380997020349995	0.0516945750210435	0.647097110228117	0.879417982646387	2.59109891936197	0.309421273444245	0.110773674812746	0.572840203742637	0.468923685113741
"NECAB1"	0.670551677375957	0.783816602203073	0.843452480790185	0.756412746375255	0.204601504102008	0.769836891747862	0.358935765025536	0.0750919856939303	0.666841106347114	0.238434701210299	0.639996612210953	0.455909244720975	0.64136660585525	0.461207400976582	0.699770152290827
"CFD"	5.00655386187848	6.00821570379058	3.7652536055996	1.78011478649455	2.07233050717774	3.86910150028038	2.81616857426374	2.64824223370531	5.37789071462963	2.33274230016029	6.43888664325933	3.06748297862574	2.84936481439692	4.79870378012532	5.79997317215947
"MASP1"	0.576463122867718	0.381597352955973	0.694469718308033	0.494481151043695	0.0233755186464198	0	0.349595705377116	0.0114932915939883	0.20057026569042	0.280723564005451	0.600340649379517	0.0473834320630321	0.0396830050084871	0.0521873681832924	0.0685019418395486
"CMA1"	2.21192021351658	1.49690457533364	0	0.0289923513858917	0	0	0	0	0.131903537562058	0	2.86747347495048	0.469523434065644	0.174898014439542	2.31124006993166	0.0411786273442892
"POPDC2"	1.83573816879836	1.59921542061604	1.62459457925564	1.41097329855561	0.243307143317258	1.92845749801651	0.744669609774378	1.12651170145459	1.96767770418235	3.24867600204219	1.83747504669793	0.848607518218575	1.56880312017247	0.782978820016819	2.29811427004932
"NEGR1"	3.3189747627163	1.95827476324485	0.412128439502542	4.10733217268965	0.347119085973682	4.37243675765242	0.208532242281179	1.49192747335675	0.320807551406327	1.44699194909156	2.3473297441872	1.53668953549391	6.04455368134948	0.885813297051708	1.01618392798112
"ADAMTS8"	0.343823372326837	0.544474010810394	0.190207624580972	0.350063241772077	0.0482431619176096	0	0.0391542178329369	0.0442959777832068	0	0.754111871833419	0.342617321586483	0.122798862166098	0.066791710919426	0.0403106074817042	0.0510943953557073
"RAB9B"	0.870671278203019	1.3798538148687	1.79849020526909	2.49029799504057	0.688197370871898	0.667654191464133	1.19146158270948	0.981138799213071	1.06533103806837	0.767146269842624	1.11732601126041	2.7264639586379	0.971143268380756	0.0899803697001902	0.994118060350366
"GPR17"	0.303708867301867	0.0600711862119073	0.268203208476467	0.103069820134187	0.0397940919380278	0.0747543585621087	0.354444825779715	0.243848797406659	0	0.155482425981033	0.0965707375713019	0.102773340826106	0.0426888081478907	0.127820586826177	0.0513383398256278
"S1PR1"	4.38094411929345	2.31435864896413	2.05152523854334	2.35518545230968	1.52481592835751	3.29772554046243	2.17440961457194	2.76223930700081	2.52802364090111	4.72062322596188	3.75856435677384	2.21550931459985	2.73401045492977	2.6371499848578	3.7878398889244
"CTSG"	4.12201002012581	3.39675683408227	0	2.5070791397232	0.0640217360311826	0.160704671125691	0.0253749288812688	0.0787920044291233	0	2.20568340005172	4.86572337451743	5.48011321740226	1.64142579949115	3.43054287409281	1.23051968276398
"FMO2"	2.4665866639824	1.63930858006386	3.73649664206907	0.188881320933068	0.380109355293964	0.0386284813527738	0.750822571359576	0.045353848038616	1.47185596666126	1.32324323315272	1.69718888472183	0.943884579077295	1.24952422446247	1.15038095328205	0.103961845930249
"AKAP12"	4.35968631750973	3.32130615928799	3.91262591557756	3.98673402635172	5.7118431488204	1.29581704640753	4.96571503363809	0.944475425011675	4.4812924824758	3.72012521179353	3.35923088740083	4.31914100304885	2.95905790372144	6.06043114313129	2.68235755111704
"ADRA1A"	0.19971379964113	0	0	0.0731085795452616	0.0172698762494065	0.524873083518874	0.0489364343591527	0.0109201635554295	0.0329721935340232	0.757380034650325	0	0.0162891360091182	0.0756617320502424	0.164148314038593	0.0413439953890626
"PARK2"	0.800492005961556	0.942394768411409	0.91968064413843	0.593319824815261	0.660731511425264	0.428733072692059	0.282823484174628	1.0077143476544	0.470517603000435	0.239566682210067	0.479107916565631	0.247236676797915	0.887093957432569	0.194152627673273	0.208663332306355
"GLP2R"	0.0168348820483968	0	0.0199729235320721	0.0150419095375961	0	0	0	0	0	0	0	0	0.0162566114990854	0.0238652367132292	0.0393257565850141
"PTGFR"	2.07886597229862	1.77284424023785	0.363300619429266	1.73372960946003	0.270054643836842	2.49686112562919	0	0.837858090104389	0.431495665341472	0.621961358908989	2.91265273878884	1.6934356607637	1.13774286011914	2.79584381744604	0.24896466607837
"TMEM100"	1.65728557541262	0.913679884092139	1.9735671950485	4.92000025279843	0.325047865489226	5.22583018037859	0.054108293968515	0.119114434810355	0.66909572286985	0.493309162694007	0.863767219312896	0.590585253562114	0.546610028054443	1.01669955228706	0.289129171917419
"RP5.877J2.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CYP2U1"	2.74331891882032	2.40025373438887	3.55920422446254	0.959439298773399	4.35707337272948	1.30855309745797	3.09953591400007	3.46727948045998	2.9714313527464	2.6323473288648	2.70786488405661	0.634882243146981	2.54296869613147	2.01198396856615	2.62583038956688
"P2RY14"	2.09423775918323	0.728799958193142	1.62216664462401	0.207811658726656	0.399997364158829	0.337923413815469	0.510439417203856	0.294422543897146	1.88705729375498	2.49609415075658	1.56439280276006	0.76692076489297	1.61738312348289	0.438967725924118	1.6433644355051
"C11orf96"	4.35792142799709	3.81936162932009	4.09202979702575	4.50978766990682	6.38022986902511	6.10825889281582	4.93886209601397	4.03423332625387	5.33155474880026	7.14315869225187	4.16298741883278	4.48072720170033	3.26246698449449	3.79421309496009	4.66092576541948
"ERVFRD.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TMEM47"	3.67089697323718	1.51949913133241	2.34085419653068	3.92085064075744	1.13487805434311	2.21723071622067	1.25471194497685	0.922971899734982	1.08779207760707	3.29129412333858	2.89033189511553	4.25080623298381	3.3009027160093	1.62125247682174	2.06199560876985
"RNF112"	0.311591464755835	0.317913553517098	0.423127947616465	0.118569569324982	0.0587924891032941	2.17910652939189	0.140250683285705	0.0638654342913571	0.0902501494353839	0.438613296584401	0.563899548578184	0.201087415355394	0.283385475921107	0.109562489143127	0.179909726790536
"PDGFRA"	4.19337356769196	2.99927215712044	2.71168762021505	3.09954432969519	1.83412463517421	3.90338540095093	0.896453215856438	1.79260134905853	1.14673667279223	0.920185808755785	4.01541282213176	3.29916478268804	2.58441417241664	3.91478454641	1.72154546627363
"CCL23"	1.37850884883752	1.90954271528122	0.632691654155011	0.106360381001748	0.119484204318035	0.265494506680809	0.275977857246048	0.0910992772491963	0.446982953352818	1.02028527857096	1.15684961255475	0.0619896661034475	0.935306229341707	1.28436902730796	0.890263401370324
"CCDC136"	0.358623001587949	0.602495838026733	1.89572916164496	0.557147824984156	0.0861100794931109	2.09396912967553	1.13130302396758	0.667168666698994	0.391615415222421	0.943604067499531	1.45704000979901	0.603943658492144	0.231196445840743	0.332899230195578	1.77499995669427
"NR4A3"	0.857081667129261	0.276228052208922	4.38322734678134	0.64548632177267	3.04095027752647	1.12605436517449	1.26111554815176	3.82446238078286	0.772680003781404	1.53492317605155	0.688029477701697	0.748294626456965	0.915838277869855	0.533988868033817	4.33992836937568
"PGR"	0.229344889673902	0.120174877505251	0.33557243543687	0.0200316864424015	0.0343854756158143	0.0446494100739651	0.0298107499198564	0.0339806946991689	0.0257386101306438	0.0278092741677317	0.127223984882481	0.029497835682966	0.0432952942070385	0.089075924491101	0.150052044562381
"GIMAP8"	3.72985182813752	2.31364783453837	3.00614629503713	1.28290234221174	1.91593003655486	1.84157868812663	1.90200216655133	2.19416744481417	2.80509327150586	3.16029903749815	2.64149631998856	1.70947371843073	3.00290320573118	2.26300434937402	2.85734507421531
"FGF10"	0.793741099176006	0.672350659354047	0	0.0414868457818598	0	1.58815693553644	0.0600682109156375	0.506564876627953	0	0	0.337118138216707	0.206401295995875	0.158539326400393	0.46333211010729	0
"GIMAP6"	4.30367847756204	2.83391522880804	4.05381513041724	1.55457657336972	2.87215501629523	2.06482768054751	2.76205535629995	3.08855717704175	4.47844120974553	3.3619114991022	3.42762293261765	2.2313156609399	3.99632546896166	2.91488115456689	3.92438972608098
"SLC8A1"	2.60453514199893	0.88091469282913	2.23266996545264	0.937737218802411	1.72315878891592	0.986764056496927	3.17594529253411	1.93942594553536	2.01150458409185	1.39441536143192	1.14889506828122	0.862599372804352	2.45588610498791	1.96296169127943	2.07904011989649
"RGS9"	0.302531381313893	0.396881204179187	0.23667874082265	0.144933386967095	0.0469860526073484	0.335233981303211	0.673806499605725	0.0265718299489593	0.748307509092813	1.95908016690393	0.523980402380637	0.0662715011389063	0.41373650360575	0.131940073907587	0.309675047809713
"BMX"	1.26694841323876	5.40264885344448	0.112872311880358	0.286315192877808	0.1327948919319	0.198613587500394	0.0582533135169441	0.258129329375304	0.246693253570885	3.75754602202356	5.07670445181833	4.8993810935276	0.204110034137547	0.475942979359663	0.375529933795789
"DMPK"	3.42093035357257	2.99233610121475	3.68066754690101	3.80605075474558	3.07674891093885	5.86408459516335	3.2050483772943	2.31289166586963	3.27491165955042	3.4261023584927	3.11086432413219	6.12171895778223	4.41530234476026	3.38433928408379	4.43633510159595
"CCDC141"	0.119798380791531	0.386008551831899	0.159488267543539	0.00730107984963431	0.0124994153278069	0.0107057761201996	0.112046318678255	0.019178891615471	0.432672977162133	0.867693286603934	0.129924189490228	0.00939342662851156	0.226030635000496	0.921646549825181	0.0684160209480117
