"Pt20.baseline"	"Pt38.baseline"	"Pt13.baseline"	"Pt23.baseline"	"Pt19.baseline"	"Pt1.baseline"	"Pt22.baseline"	"Pt9.baseline"	"Pt14.baseline"	"Pt10.baseline"	"Pt32.baseline"
"NRG1"	0.00449645569997486	0.0367078480135755	0.1748410533908	0.00842976318793042	0.0020577253702985	0.0119154756550678	0.0303768038165186	0.0115894643580184	0.86026593291847	0.0102626433921969	0.0520743601516307
"MMP1"	0.0455243813909118	0.403760226320409	1.20310339537147	2.70214243352447	0.0188393011599757	0.214965537014125	0.457453259645707	0.195640794502744	6.80127435215439	6.22797221102065	8.28650433677312
"ACTBL2"	0.0071470003855377	0	0.164158995728748	0.0161858505167239	0.00916052217953603	0.0156836016881731	0.0365141209216933	0.00678714080942451	0.200530847847311	0.0452287677513972	0.104055479720608
"CXCL2"	1.2490453983811	1.10995935736554	0.511742816262148	0.67071731252638	0.203983428886284	0.31777352939966	0.71516238767233	0.279874796604052	1.37058393686286	0.58268399553756	0.322431055094598
"TFPI2"	1.41839774721198	1.66747203554201	6.77597522687022	0.409406619184633	7.5505867265905	1.80841053270652	3.88902744718812	4.69569693468285	8.14816076221051	6.36406826164273	4.81833246389959
"KRT75"	0	0	0	0.00401865626809789	0	0.00212990583629659	0	0.000906080512414478	0.0449947295643945	0	0
"CSF3"	0	0.0714939967991687	0.00895843610852472	0.00724790669087687	0	0.000772300576289572	0.00269470006980049	0.00182446879302964	0.120445069117003	0.0245754581825933	0.0118779270326776
"B3GNT5"	0.599008385863918	0.576914272962592	1.38490518209862	1.56044693115961	0.5828495101741	0.664974909940037	1.63835309571788	1.15548711560606	4.64303724794554	3.138982384506	1.11306284263226
"DCUN1D5"	0.649078378849086	0.802924703913	0.841662885141656	0.978647784902179	0.483026277051008	1.02439793519632	0.945934459779453	0.893834123475122	1.5750377863605	1.06552529535698	1.10844119869614
"MRGPRX3"	2.6390053422721	0.0349651069588666	1.4118325209839	0.039816279368521	0.181233163331893	0.0157962320546608	0.322527130407113	0.0587686586197919	0.0446917290276246	0.103076687437458	0.0617818576509374
"INHBA"	0.0128885865547216	0.0469747556398955	0.715500198172999	0.169543862791953	0.0296796024092007	0.104698627607677	0.396304380710448	0.017895650819387	0.259958154354714	1.49004308845968	3.84187084180556
"LUM"	1.33128252160632	0.976327438599382	2.52516127060433	2.87345540348007	1.91663746003623	4.57094237656796	4.98911937047755	2.3283765368461	2.40265956440527	2.70153049991475	4.51853645913927
"METTL11B"	0	0	0	0	0	0	0	0	0	0	0
"MMP13"	0.0132318378518058	0.0438383437357764	0.0221629340636055	3.02292836893513	0.149193223092879	0.427450058494134	0.628448613416664	0.062431702945203	0.175241670042898	4.0280520065726	7.27019898923571
