"CAF07_1"	"CAF07_2"	"CAF07_3"	"CAF07_4"	"CAF07_5"	"CAF07_6"	"CAF07_7"	"CAF07_8"	"CAF09_1"	"CAF09_2"	"CAF09_3"	"CAF09_4"	"CAF09_5"	"CAF09_6"	"CAF09_7"	"CAF09_8"
"PYHIN1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LY9"	-0.25	-0.25	3.75	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
"PLEK"	-0.690563957448521	3.1230532217519	-0.895334915347272	0.420178308223938	-0.0772725343969804	0.00794705824139816	0.88844865225217	-0.63888925903301	-0.530690013957679	-0.115741945465963	-0.475822348814358	0.921120300897399	-0.685876104666088	-0.529755157496108	-0.682262001881454	-0.0385393028593741
"CLEC9A"	-0.25	-0.25	-0.25	-0.25	-0.25	3.75	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
"CXCR3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KLRB1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CD2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ZNF80"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FUT7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TIMD4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CST7"	-0.390284659351006	2.53818661538412	-0.738883731433295	0.0644505555524415	0.704842411570056	-0.738883731433295	-0.738883731433295	1.8598885078268	-0.425082170950686	0.633840399593235	-0.0156620845557847	-0.738883731433295	-0.738883731433295	0.202006544963893	-0.738883731433295	-0.738883731433295
"FCRL6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"WIPF1"	0.448840025731103	-1.40242870877203	-0.462638800299212	1.4711970646381	1.19899392121833	0.978358033358978	1.3365355970221	-2.14645361066489	-0.255327414461111	-1.07865531824938	0.0462486578224386	-0.00366480818972662	0.348713869532057	0.0644933997892018	0.0109432470990868	-0.555155155575037
"TMEM155"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TMEM244"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GTSF1L"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DOCK10"	0.449945969110912	-1.7175700442398	-1.31932123958086	0.559187382182265	-0.301374030120936	-1.06223527049284	0.776169075605963	-1.87430310159815	0.920258103120583	0.936143746068133	1.10359928161195	0.996857972006117	-0.230970968955901	-0.123402533037914	0.620582159330541	0.266433498989938
"SIGLEC8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IL10RA"	-0.81216358303303	1.57221101335439	0.457456474115907	-0.81216358303303	1.27360930638207	-0.81216358303303	0.275579013396148	-0.81216358303303	-0.81216358303303	-0.81216358303303	-0.81216358303303	1.08043214918153	-0.81216358303303	-0.81216358303303	1.27360205590657	1.37658223496066
"IKZF1"	-0.365141733359966	2.37267597139201	-0.365141733359966	-0.365141733359966	-0.365141733359966	-0.365141733359966	-0.365141733359966	-0.365141733359966	-0.365141733359966	-0.365141733359966	-0.365141733359966	-0.365141733359966	-0.365141733359966	2.73930829564752	-0.365141733359966	-0.365141733359966
"CCR5"	-0.351603030206325	-0.351603030206325	-0.351603030206325	-0.351603030206325	-0.351603030206325	-0.351603030206325	3.22083776759934	-0.351603030206325	-0.351603030206325	1.70160465528921	-0.351603030206325	-0.351603030206325	-0.351603030206325	-0.351603030206325	-0.351603030206325	-0.351603030206325
"SLAMF7"	-0.25	3.75	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
