"Pt20.baseline"	"Pt29.baseline"	"Pt38.baseline"	"Pt1.baseline"	"Pt13.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"
"FCER1G"	3.19369649301474	2.29357060928906	2.67087535649106	2.0718212389353	2.64946064494921	2.49334401575108	2.77733493030805	2.73186002850893	2.58599937709989
"TNFSF18"	0.0283361195929031	0.07502667131254	0.0195671087613985	0.126846429380264	0.0480692601010584	0.0531377018850182	0.00451180637510562	0.0423879308018171	0.0143390163712849
"HTRA4"	0.104211914681443	0.0120126739355793	0.0187932730989878	0.0487087767876932	0.0401808809585518	0.067919415794043	0.296772507134468	0.0260005262234512	0.0171588830676285
"C1QA"	12.0752227330753	10.6411096938177	9.78079655264414	9.34113501971647	10.2399316126552	10.7894327148859	10.924318165812	12.1207546015206	10.0843668436535
"IL2RA"	0.274778838559955	0.573246667926644	0.829078142813865	0.34458958188851	0.461433990318011	0.431717972715109	0.199542983752645	0.244339114152986	0.491835672977591
"LCP2"	1.74029438888996	1.19490672767718	1.31970567378668	0.787151782758612	1.35665358858562	1.69333776007502	2.19196736904616	0.931185593266841	1.44184598258438
"LILRB1"	1.62674508443468	1.5386893918801	2.48979589518213	0.585642162843464	1.83211914042085	1.96510950254259	1.11523023663153	0.866594020775729	1.70552154576064
"CD86"	2.03164703599302	1.62289337948451	1.8882958247251	0.928391082602468	2.06188245794382	1.9914568193318	1.67388488943667	1.1975765101152	1.54658475270311
"CXCL11"	2.71844139665316	1.11377688979662	0.942408000907737	0.715463634687794	1.71347654701057	2.17553653470526	1.95537964683137	0.611490492795522	2.79564448124686
"IFNG"	0.799825248181332	0.117447549420827	0.158260988885474	0.0451013786557611	0.222662317873453	0.137426302329149	0.205587208096938	0.0633730734329032	0.129866565530014
"GBP5"	3.08813788745037	1.51557470987965	1.32375824992507	0.488731759737912	1.49148236980895	1.23872300573542	1.39598628099752	0.928766988853772	1.93899367882316
"IDO1"	0.966988605459018	0.612023046265666	1.00670653020767	0.228061689394765	0.462326939934391	0.589625684642314	0.624909168895164	0.505985540319854	1.43218253716453
"CXCL9"	4.89297971339112	2.92152016495075	3.31063712404013	2.54502636866033	2.45741943399722	3.71696109886471	1.79016444996316	1.93985213018669	3.40922687993315
"CXCL10"	7.08070079164607	5.24918844354429	4.47212552376546	3.45980647917804	5.5382680769859	6.33174731435972	5.7661502024402	3.83348381345664	6.05949701290615
"GZMB"	3.29088055827144	0.816796287987682	4.15318088585736	0.800572147344421	2.26757755958148	1.33504429262172	1.68622504617122	1.89662322050581	1.78250936871641
"FASLG"	1.02059879646268	0.277657053166415	0.137392054379093	0.131596639768819	0.262799076085994	0.248070397141548	0.204960530192095	0.167470686472355	0.183067198892258
"GZMH"	1.24098924686775	0.12477229431081	0.516607356139155	0.12915068270571	0.272614262073288	0.191185049963471	0.259058040864533	0.352663513246413	0.220984426243834
"LAG3"	2.2488761607235	0.485678945860569	1.42979983710443	0.173534914529501	0.705058525395776	0.466538127204163	0.731520470287716	1.95625960483732	1.0335848902993
"NKG7"	9.6537904600749	6.17088783938155	8.3667092308946	5.38267375728353	7.18060215821093	6.30637927366559	6.61368906378123	8.75998313048622	6.5709179937578
"CD274"	0.348724229823323	0.125565782551139	0.373118503846677	0.108161535594147	0.161245421866417	0.194584191489633	0.110668649161941	0.0595432289523656	0.183426151859696
"GZMA"	3.9346690419609	2.00127463869921	1.90809834252417	1.368538885356	1.95550911845686	2.01346914082121	1.38160437557324	2.37546734283377	1.81704867065268
"CCL5"	5.3445920111527	2.34357691636669	3.9467338465682	2.05299693241661	2.89774693030584	2.69796799837017	3.14640727436115	3.56948252187256	2.45517129115227
"CXCR6"	1.76023844825179	0.651049918544517	0.582510822985051	0.406745657003141	0.54696213249738	0.396735660912004	0.517174327358921	0.627427479045209	0.383804718567857
"PRF1"	2.00562574613347	0.346990557468689	0.991191879237125	0.33792506656283	0.54890271265414	0.446139570453633	0.853955937410541	1.26882605158502	0.511149097263842
"FAM26F"	0	0	0	0	0	0	0	0	0
"GPR25"	0.00953308127557069	0.0130369286469031	0.268382722856769	0.015125940795823	0.00326921436391826	0.0224874487233601	0.0135821710382943	0	0
"IL27"	0.156061020764302	0.052499033352313	0.0338200784431852	0.0169003929926707	0.067407933109808	0.0978718984868231	0.183895636896297	0.164737923965193	0.0774128418986177
"TBX21"	4.11103451461689	1.40553234943943	3.53860023379686	1.37150168607228	1.18010030169782	1.78570840543775	1.56264418159775	2.21953966127251	1.73840859721118
"CD7"	2.1848876398885	0.749100249092754	2.30255304061794	0.468271055166288	0.945321338456492	0.686018765801112	0.958561832938482	1.94436888187006	0.768252086839417
