"Pt22.baseline"	"Pt9.baseline"	"Pt1.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt32.baseline"	"Pt6.baseline"	"Pt20.baseline"	"Pt23.baseline"	"Pt29.baseline"	"Pt38.baseline"	"Pt4.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt2.baseline"
"LYVE1"	1.10936876799068	0.464462888831069	1.44710190064733	0.920921394829587	0.862818022986983	1.09933017562649	0.643519982591746	0.142298491321901	0.319150733739163	0.0379662185382227	0.402010190913933	1.24734070370757	0.337534543196431	0.469001000606066	0.143716066113934	0.0358073954860937	0.982041033648447
"MAMDC2"	1.77743305959241	0.038269962422677	0.0918166049417759	0.0251874438532997	0.172854098321065	0.00280608292574262	0.0173083481057674	0.00486114809290302	0.069461966871088	0.0305195441711155	0.0540692631523704	2.12665874187365	0.106978451740205	0.0228395170174433	0.00922446472972969	0.00756283235674285	0.00159668764995026
"MYOC"	0.145515180393652	0.0269328816738392	0.0117901216121108	0	0.00736846269739499	0.00126181564105608	0	0.00729545493647859	0	0	0.0018752187784763	0.00171681785282272	0.035540633814078	0.484317591928911	0	0.0033627551587233	0
"CCL14"	2.95559037520835	3.45315703465569	2.28879487005657	0.193761400847682	0.952863343522275	0.463762914121381	1.81671418931974	0.376917729146088	0.325193737349725	1.37831891913521	0.679175865404891	0.83867791320631	2.29147658209903	0.238256475964707	0.281941777049928	0.891408793096622	3.40652261287161
"MYH11"	1.12161419790469	0.183354812835314	0.310150268216795	0.0759152548676354	0.0568152093213581	0.0643278264514589	0.12651266002427	0.114543803229563	0.0259808972335236	0.00646492639802558	0.0676543461707405	0.0888879526187274	0.167598425550593	0.0508793558142737	0.0100667008196528	0.146318406795769	0.0480689826074781
"DPT"	4.30966302908714	1.41041310815435	3.32648502678891	0.570707308013056	1.25053572977189	1.23505422248015	1.97353870699051	0.0453003836938932	0.459626477698331	1.41412464821203	1.282797346979	0.299408147595823	0.185238240561011	0.39800917571586	0.786885811407157	0.34026634704869	0.867984278345974
"CLEC3B"	2.39682092985091	3.34897866699349	4.24450165562643	0.543865782710781	0.960792568448143	0.772863023692941	0.983010511248993	2.31134822663614	0.996929453097818	1.774361870399	1.76513666243995	1.51588853163548	2.00506058580546	0.247145360006811	1.13821935237039	1.09396198261358	1.20321004042507
"TMEM132C"	0.0486525059337697	0.0196973672375711	0.00349006153169609	0	0	0	0.0375747424890231	0	0	0.000620292721093644	0	0.00181924155558272	0.0560586633013094	0	0	0	0.000555861040693248
"ATP1A2"	0.57610864951887	0.113693817136002	0.0390501656755144	0.00339446446583278	0.0116586687182723	0.0273147343663054	0.108329410477685	0.853199391269276	0.0229801161512802	0.0242551442357651	0.0165200392056671	0.0344327881776797	0.00360961770703056	1.37952890592412	0.118909993236311	0.476612450876277	0.032122511396999
"MMRN1"	0.247531543177415	0.0413829888261965	0.228988959433493	0.183317601444441	0.0630302216668863	0.0264380862522393	0.136556588398671	0.0322745577854167	0.0121829944840995	0.031878331970444	0.0472719527628227	0.255322036114616	0.0720405173749865	0.00779140058640209	0.0191267934888501	0.00128812882168266	0.12115233601409
"FIGF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYOCD"	0.0846829079980492	0.00766200694131343	0.0119749891732605	0.00311808944456298	0.00163556276985109	0.00271294926665512	0.00758577258467762	0.00104568159153562	0.00205460498146662	0	0.00772383980253219	0.00488195401501388	0.00191212151485695	0.00148301425787287	0.000894291316411143	0.00166087277802782	0.00428563759107262
"SYNM"	0.421067222346834	2.41711393870144	1.13729008981127	0.876368235751195	0.754466152807981	2.86326113252721	0.459097434133869	1.05907781163941	0.625603726479288	1.59267240756289	0.503330289814016	0.19863603061155	2.12752600345042	0.335593188902437	0.534405267730336	0.730229831485158	0.708603198451365
"PLIN4"	0.824437807371263	0.688461003529427	0.0932365019408041	0.00620868063845279	0.00427762448496406	0.00129981309090763	0.369860269835755	0.0052479478447089	0.00439460510517175	0.00688233449719741	0.0123056436767266	0.0332019288145142	0.00562015691013108	0.00737341273865816	0.00942520167016589	0.0200270890854153	0.162724012983599
"GPIHBP1"	0.642198269046108	0.206402272925192	0.233453188617181	0.0189407753178653	0.0542559388256144	0.069109028682093	0.070111294708924	0.0850174668966268	0.0185843143503287	0.258145892189393	0.0637273215566473	0.0177195260744915	0.0117257395658335	0.0872808977836549	0.109785137600311	0.0996810772706762	0.0365862152911854
"SYNPO2"	1.81364672037492	0.521923436622566	1.2077616322278	0.209385639540608	0.365305072411653	0.385233717215146	0.281979640726309	0.479010378732871	0.163323802881766	0.167914559029363	0.256933590486684	0.342047529143785	0.633846382852754	0.144118991901066	0.274473054415115	0.673677941416651	0.414917864829509
"GDF10"	0.394468782222441	0.236481947129738	0.496936614463106	0.0466197019535938	0.28310908110619	0.197027034049793	0.196867511369936	0	0.00176953966913824	0.124172360113433	0.0331867792025909	0.0213839792210307	0.078803328426378	0.0247345281940826	0.0556109756349651	0.0801603029936306	0.0212266591204551
"CAV1"	4.33809927764672	4.59715218443347	4.86288364187145	4.24504242663958	4.53022466332833	4.09241412471184	5.01685860347368	1.83676802902749	2.17635142693685	3.67601234231796	3.28350606193856	3.2096536057845	2.01310984648226	1.95326328661912	3.26525325700384	3.47782094571952	4.21784314899781
"RERGL"	0.542393129910628	0.216387724401143	0.0554838573934006	0	0	0.00243295972852614	0.101439090922391	0.0442050292198462	0	0	0.0092955727878286	0.0118142709951436	0.0352084234532738	0	0.00769160231651541	0	0.107943114793139
"CXCL12"	4.87572768551433	4.13840900260462	4.47047495042412	2.36161409450072	3.30694118258212	3.75239084480321	2.58487347794397	2.44929766757739	2.70581332946784	3.93126052064254	3.03704775338527	2.51799705168881	2.50746852986036	1.51163947742041	2.36805693334196	3.63789732959599	3.31091030686018
"MASP1"	0.0979914693021819	0.0603498739871156	0.106011924366672	0.0826026234175734	0.0071786690553305	0.00576804190529058	0.00793016101182462	0	0.00175833603527545	0.0312489337666342	0.0102597812185634	0.126312674578969	0.0412313922620338	0.0592079694507578	0.00345084453681055	0.00543932586773304	1.61582097055285
"VIT"	0.0916950677483463	2.3800588835025	0.224942199222986	1.19225968778188	1.79112677947201	0.377378301018898	0.0125353058623716	0.165313526314723	0.0174948459103265	0.00492069336521531	0.000804035099115369	0.00328966852889204	0.147509635726419	0.00550787255444145	0.00372849343554329	0.0547042182416622	0.00305643268153736
"TCEAL6"	1.88195744254257	2.35930781372644	2.41401432356845	2.03135783304221	1.14029881986315	2.84469459696659	2.38430610094029	2.89832971734696	2.644123887227	2.70218007326986	1.74145389956146	1.79266937650686	2.49190215776497	2.03190853102574	1.48170694290089	3.29395087465796	1.95928384723239
