"CAF07_5"	"CAF07_6"	"CAF07_1"	"CAF07_2"	"CAF07_7"	"CAF07_4"	"CAF09_2"
"ITGA4"	4.99364958681527	4.58014938342238	5.02616080330639	2.57266550506755	4.85445831574902	5.01347042979169	6.00470013608379
"SUSD2"	3.87703103168915	3.86540526766086	2.25735784585057	3.27226487663781	2.65962842035049	2.59647112004554	3.21078814168393
"LILRA2"	0	0	0	0.107294310792223	0	0	0
"TBX5"	0	0	0	0	0	0.0114920565372683	0
"LETM2"	1.62494549895832	1.61521744266546	1.73320427833881	1.59758059711187	1.07579947400163	0.997333830324325	1.48471504185176
"CD93"	0	0	0	0.0613775271874247	0	0	0
"CD80"	0.0124778282093542	0	0	0	0	0	0
"MNDA"	0	0.035217655663654	0.0305073315017646	0.290451461668331	0.0165299704937125	0.0176948320438156	0
"STX11"	0.0359365671936737	0.0463944095872509	0.0571054959313267	0.157782755443732	0.165969216167838	0.188894575418656	0.137356643971388
"HMOX1"	1.48247272964036	1.61198436363501	2.17148803999544	2.26917369073374	2.85735468000344	2.81386476058866	1.98119873449867
"CD300LB"	0	0	0	0	0	0	0
"MAPK1IP1L"	9.52340783265222	9.64347559988422	9.77294914910408	9.18353384876172	9.67288925165836	9.56676677720464	9.67858935936843
"OPN3"	0.497252609607434	0.2647275820447	0.380146996469452	0.0341736910001489	0.333530336297902	0.42269692255466	0.556501479105166
"LILRB1"	0	0	0	0	0	0	0
"RNASE6"	0	0	0	0	0	0	0
"CAPZA2"	6.27020915164493	6.35965790125787	6.67821941904668	5.69792138994539	6.78787653724923	6.68964849573253	6.64297328271685
"SRP72"	5.10874412587915	5.03396305561372	5.62994190981225	4.79651631361616	5.25352198712528	5.28118438069577	5.87047095982235
"CD68"	0.0596969946298964	0.0531613980596473	0	0.0681826141781461	0.0738368741049091	0.0400054327062134	0
"KATNBL1"	5.02202851353916	5.02850966357278	4.5442076308103	3.71102067071061	4.44601677185888	4.28609968211064	4.41464343948524
