"Pt20.baseline"	"Pt38.baseline"	"Pt2.baseline"	"Pt32.baseline"	"Pt27B.baseline"	"Pt4.baseline"	"Pt6.baseline"
"THEMIS"	3.47570308948211	3.01438813881229	1.53696524854848	0.321820716819461	1.03273824961821	1.11292771607345	0.298008861742732
"GPR171"	0.922249432668224	0.460859461484649	0.119269163957554	0.0960145762111213	0.0521801316842066	0.0709231954476752	0.0159479488394257
"ICOS"	0.274759499506165	0.226472778783302	0.0472572897804609	0.00874921124364993	0.0294235539105823	0.0309942224965955	0.00282582731835071
"TAGAP"	2.24673286510941	3.38127420828084	1.55879786266992	0.338934531030371	0.992172188096089	1.16314187696174	1.19566556013181
"IL7R"	0.312044443156939	1.01532950853084	0.224083976116615	0.314184909405916	0.0544701049064794	0.144290174669271	0.152473928159032
"CLEC4C"	0.0267474724355151	0.527627229137811	0.0379394382016084	0	0.0312700943389985	0.054697454810813	0
"IL2"	0.0186877058154546	0.0372034313718669	0.0132457054540879	0	0.00329067162437706	0	0.00413915567827212
"CCR2"	1.48819579363631	0.417583903717953	0.428800404803629	0.141331981666434	0.243449059867927	0.516758654050927	0.140922427407302
"CSF2RB"	1.78582455386779	3.21924028883753	0.756441895061887	0.406771756243681	0.634181829172373	0.752855964473454	0.795998793095841
"FOXP3"	0.258067438768756	0.77644463318046	0.0559006591516154	0.141252328308432	0.128417069848284	0.0632713783694008	0.0366478742497022
"CST7"	3.37774988300562	2.19641389100765	0.817766064794799	2.54251172299825	0.517866536079614	0.565524417091429	4.1979962176178
"LGALS2"	7.43361737083024	7.02229980022243	4.58918707034812	1.8737400300431	1.33942986865664	3.36741347487129	0.589742117686382
"PTPN7"	1.16118946213256	1.31918338273046	0.139440531099269	0.0817628523821326	0.15991901912381	0.128015830630714	0.0567388235844537
"CLEC9A"	0.0671059682932773	0.164335199837907	0.0896229010891574	0	0.0132523473442993	0.0106047492519299	0.00146716849637312
"CLNK"	0.0312165892419077	0.0732531250695521	0.0223216639342292	0	0.00329496831783504	0.00726919119292706	0.00153656763997462
"VNN2"	0.498238708194607	1.47697875422825	0.722213648305658	0.0857328306074315	0.14571574928734	0.712053299128468	0.660025944424329
"APBB1IP"	2.79310128688017	4.05669649319958	2.59967221078648	0.741659681472751	2.007639928779	1.58548330766859	1.92777488777505
"CTD.2370N5.3"	0	0	0	0	0	0	0
"SELPLG"	1.26029652399312	0.994474180780835	0.436897658479824	0.269109975738513	0.285474636367567	0.536581091949961	0.670913222089546
"GPR155"	0.44401958001375	1.07542232487213	0.74077120491332	0.580132684070271	0.458766797248109	0.101171474238579	0.729157486890697
"CREB3L3"	0.00144290525643073	0.00448753018697178	1.9017435906872	0	0	0.00161072453299856	0
"ABCG5"	0	0	1.6385012770952	0	0	0.00672384142284801	0.0411960510619155
"ABCG8"	0.00238401156320065	0	1.78741511337573	0	0.00134760152892535	0	0
"SOAT2"	0.0356501356132502	0.020494362325882	0.07260492217582	0.26495709315808	0.00860449783143688	0.00225817733969699	0
"ALDOB"	0.0545182512538992	0.0350436668198303	8.94682907673021	0	0.0251872454580389	0.0499786616521326	0.114544551185021
"APOB"	0.0612372142795196	0	8.85442325245177	0	0	0	0.11154004746388
"SERPINA10"	0.000333851922834723	0	1.37755414569841	0	0	0	0
"SLC7A9"	0.0401035348917941	0.121665929645461	1.54349085821587	0.104417500062046	0.0351083043703235	0.073259227528077	0.110166360128623
"PIPOX"	0.0261960304686029	0.0175684185393529	1.7758653850625	0.0800355126323286	0.0174241454668748	0.00659134046745037	0.0166823764179281
"GLYCTK"	0.659652553823361	0.660800743663897	2.43764102623152	0.384855396458501	0.241102474625972	0.616353726236719	0.385534883374372
"CHST13"	0.00162941648756638	0.0127077353480138	0.305043015161333	0.0604087334765642	0.0241015196035759	0.0151969435749285	0.0162697902856203
"OXT"	0.57374418229378	0	3.49501374273384	2.19392856198772	0.706523745537938	0	0.186203520945161
"GATA5"	0.00400503139472028	0	0.0113294195282216	0.0112007939172444	0	0.00914280615737865	0.00120488023402923
"BAAT"	0.00898794198507769	0.0289649780524076	3.88549404476021	0.011322684147438	0.00803921179464994	0.0505442143859087	1.09332473698429
"HAAO"	0.379434115594632	0.430007106081936	2.2504701689827	0.19662142497074	0.0724243240003938	0.132150029120679	0.1254760062273
"CCL25"	0.17900646901402	0.0953235434207651	0.00511432708473655	0	0	0.00286610179138976	0
"LIPC"	0.0856100010065957	0.288869219198246	3.60562673077929	0	0.0104925863071442	0.0317951483724097	0.0331765890951933
"GATA4"	0.371486905153224	0.122593703910776	0.20033763967618	0.00264899243804093	0	0.115060862807082	0.0135085235180515
"KDM8"	0.428469668899398	0.452471245446062	1.55783474851322	0.434015132563981	0.359299980681497	0.233750761515945	0.205338792099419
"ADH6"	0.00235100320046747	0.00261827332945972	2.96245134343653	0	0	0.00162695559735039	0
"ITPKA"	0.00827874278587085	0.0632915074694654	0.0305863637116237	0.2094115346168	0.00460031337115856	0.0279465261118803	0.0190349763356278
"RHOJ"	1.35553970054514	0.404748749036417	1.11316346922904	1.4082405116272	1.55024874227384	1.40197697361995	1.6483075086588
"CLEC1A"	0.0715951136472374	0.547740418196564	0.0348696727332933	0.743706071676241	0.0419918596884286	0.0425773834870749	0.0529856491379213
"KLF2"	0.493718286256939	2.48851647289833	0.398376901553164	0.725789272571414	0.253870490362548	0.135517757645388	0.254997184057196
"OTC"	0.0058662190516066	0	3.34192152166215	0	0	0	0.00385121890543282
"GIMAP1"	0.611477020237681	0.53758301356526	0.208428045762282	0.184033857296602	0.206604541027142	0.174225209403561	0.267345498270765
"SOX18"	0.744253460335325	1.54122750288936	0.277386063266608	1.82371082466244	0.568129046037538	0.346008687572661	0.298305588193909
"FGL2"	2.16183961302659	1.16500107485977	1.67337901515118	0.175431469323313	1.53327711567225	2.88634974646485	0.807884662501143
"PLPPR4"	0	0	0	0	0	0	0
"MSRA"	1.82120184575523	1.59772773649548	2.45803664283197	1.47752432772363	2.40717770886979	1.70846907875795	1.35189952629393
"LRRTM2"	0.00652090246024639	0.0140085262670345	0.00353560574123887	0.0968531654018838	0.00731762409235567	0.0380121245006008	0.00475647455192988
"TPK1"	0.974307605625112	1.23525209528679	1.27373215292007	0.158264606671993	0.689585366183527	0.358472626983195	1.43625558711568
"CLDN18"	0.00551303202671926	0.0044379581768654	0.0107807767577101	0.0188616624685054	0.00960990987250781	0.0131120022926342	0.00573558670864341
"ENPP6"	0.0239368351199497	0.0350533633761693	0.0160353032342902	0.113115225283787	0.0151170465131665	0.00802488573670152	0.00387104166124857
"LRRC55"	0.00455915541607375	0.0295804520100357	0.168606923268572	0.00290901653977808	0.00281905713475634	0.00766145615933024	0.010067078523755
"ESRRB"	0.0156712750420413	0.0102374000806069	0.00461319940907702	0.0268671243962887	0.00299831130604427	0.0138644198525668	0.0153081184352067
"B3GAT2"	0	0.244527153067849	0	0.124861319413174	0.116718274237271	0.0307086845096025	0.0574906673177175
"VASH2"	0.0207211751364207	0.040802979252089	0.0112313463431051	0.243194529764767	0.0258400192467793	0.150541702558044	0.0184935883360199
"NEDD1"	0.257878884586198	0.269908473249623	0.307630874653009	0.175484350623548	0.417014383778104	0.343978605941835	0.333722352302605
"REM1"	0.0541827011571258	0.192446600614697	0.01208014393519	0.0892505630172388	0.00856110935103726	0.0292555513009984	0.00565590380236667
"NPPC"	0.024037999352274	1.29585662488699	0	0.407061170477031	0	0.00777465381815241	0
"NEURL3"	4.04048983369074	1.43541748318361	2.85460008964706	1.13844728158768	1.35793463730772	0.420883717001833	0.574453740064457
"C8G"	2.18138817200278	2.07966950561493	8.34199898186254	0	0.390585843181382	0.289656867101268	0.816541572380285
"FAM151A"	0	0.535220459206341	0.0492335408979327	0.18859691046102	0.0118748329398764	0.0163105104856523	0.0102653593908724
"LRRC49"	0.0359216255638289	0.107892389239152	0.252987145261353	0.524962140709901	0.441837841620758	0.436411457309035	0.108984768492964
"FATE1"	0.562719293540414	0.07308466786053	0.0310552489601422	0	0.011118484043245	0.385490383158883	0.037025860694247
"ARHGEF9"	4.14529843522741	3.83228677015249	4.02170693312162	2.882537028482	4.94529834335791	4.69066832724369	4.79595596300695
"ACHE"	2.67704887859642	5.20890671271126	1.71131051530811	2.81582443450971	0.483285884309365	2.26092447243247	0.206708293896022
"PINX1"	1.30231538787278	1.07712148060256	0.938760250228138	0.413676353385231	0.83938191711754	2.38935334381905	0.596792872897657
"ANKIB1"	1.41616694370061	1.39908275352442	1.77494899820421	1.15519161895442	1.98994586138153	1.81492065177492	2.44118722057892
"KRIT1"	0.846769056692208	0.835578481515738	1.22538217705239	0.880499792160676	0.951106552868034	1.28978479990739	1.72889793953274
"VPS50"	0	0	0	0	0	0	0
"LMTK2"	0.286666800584474	0.312416678884967	0.386591517058937	0.209842451714998	0.642787271158666	0.741124715189869	0.784349824860094
"RBM48"	0.398865657644806	0.385729294566665	0.644026962369873	0.357922352573077	0.518869420820589	0.720132033914002	0.82856549801562
"PEX1"	0.168606982084266	0.141647067332957	0.235791692423108	0.0810305491829875	0.268102778843925	0.305548530988309	0.403909880366118
"TNKS"	0.215226721103574	0.199222531879638	0.362642308036464	0.309475002902123	0.49119149266474	0.735973014533928	0.514123455543125
"FAM208B"	0	0	0	0	0	0	0
"RSF1"	0.154173245199398	0.792762062699922	0.309567904459561	1.05017809910767	0.606008784409061	0.362250713034492	0.438039997883868
"GATAD1"	1.00798501013072	1.49849732582185	1.64279844760774	2.08498441764571	1.36162973747325	1.61412221340919	2.16790294908372
"FAM133B"	0.894649705804529	1.74471024125617	0.944134268576667	1.84441154769495	1.1789142238743	0.997044956988585	1.12231015502922
"VANGL1"	0.667800094082012	0.137938083044135	0.537555502429352	0.202215571958257	0.691492385097731	0.32343703733115	1.38870837569565
"ETNK1"	0.953345225244709	0.63966420226041	0.961220362537196	0.406056845574273	1.43082300214013	0.651034389479945	1.09357199996568
"KAT6A"	2.07186010104921	2.55814702291392	2.49880899264127	2.24354809101096	3.24271441316044	3.59797969902246	2.76349325146382
"C11orf30"	0	0	0	0	0	0	0
"C2CD5"	5.03432896090663	4.9534509765309	5.30680100882728	4.43930924776049	5.01123192486693	5.11147969479752	4.95765251315102
"NAF1"	0.602091311642371	0.723313941909476	0.871452785234893	0.57340945819177	1.14729320974265	0.898354943784099	1.05226792761068
"PPM1D"	1.05120667105745	0.839702297520825	1.75315098600452	1.20111011179871	1.26992749152026	1.8999884372373	1.36897502061486
"PKP4"	1.23721649151346	1.05619455412237	1.37054315722889	1.16524567434541	1.89770814370902	1.69161233253177	0.975009610558611
"BEND3"	0.0885557056678155	0.118326749986284	0.0945086341263272	0.113773943442783	0.204007069325884	0.265040347692233	0.204304050709486
"RPS6KB1"	0.332204330579544	0.350265003921334	0.479165420127184	0.345101260557036	0.412226272575316	0.41735193944422	0.369490259827265
"CDK6"	0.275644845550431	0.361443424060772	0.134940910328664	0.587474418253434	0.996538217304889	0.574024421393232	0.328399696165671
"DDX52"	0.245428776580428	0.391056598442187	0.547635445247014	0.571702469164371	0.509595138484239	0.635467409122384	0.942671239755894
"ZNF473"	0.584973777703554	0.455485431285037	0.712476774005129	0.661821325666542	0.88195755760599	1.12007474744645	0.630320707934572
"AARS2"	4.7452689438416	4.44986686083041	4.62888834479239	4.25453432523644	5.25020141099374	6.00736616366825	5.31955321341657
"MTMR9"	0.128777754781069	0.169007071696671	0.249546304311589	0.161239676404936	0.258463875610223	0.228297616777778	0.222466333272141
"ERI1"	0.26931387862442	0.278364302499347	0.34621677155001	0.155295860575639	0.507388476350785	0.496629373302118	0.418233932666741
"EHHADH"	0.836854043822975	0.174562118064729	2.70104052806351	0.207565607573013	0.772751953014619	1.1110629263527	0.735353511401911
"CTH"	1.40453377140092	0.380254497737433	2.35306024724646	0.399882191042219	1.84568339626943	1.02791739835805	1.66211566971762
"BAIAP2L1"	0.93920487179786	0.337255682552587	0.885969661504196	0.0833900606268226	0.0597427183665871	0.649178753782857	1.44822494244927
"PABPC1"	5.97314135609298	6.11096117972885	6.1957329318741	5.61151736142173	6.86586537707745	5.83942996711771	5.18269080626409
"CYP3A43"	0.00815928434919894	0	0.103519482378803	0.00831820708348037	0	0	0.00582579845036777
"MYLK3"	0.00246575192431087	0.00360987597664992	0.00476128887150463	0.00262171257292252	0.00145696942102025	0.00951618546337205	0.00960580971401469
"PLGLB1"	0	0	0	0	0	0	0
"OPRM1"	0.000307454299649224	0.00161170589274929	0.000702149931064373	0.00403141520738424	0.000665830806537305	0	0
"TMC2"	0.00103020716638248	0	0.00263579128700629	0	0	0.0077848766880377	0.00296135019209669
"LRRC69"	0.00705877422633703	0.00718552578161149	0.00637318827054388	0.00505714070939519	0.00922224299466155	0.102144533989789	0.00764071258776593
"PRR23C"	0	0.01173355419979	0	0.0141267629846057	0	0	0
"SLC22A25"	0	0	0.148699788025328	0	0	0	0.00202639194320719
"SLC22A9"	0	0	0.259556455472372	0	0.000421228380904753	0	0
"CACNG8"	0.244072208869254	0.203279307262291	0.0780384700116905	0.196325025952211	0.348787561763126	0.0686550326045009	0.0564565543717681
"SEPT14"	0	0	0	0	0	0	0
"ANKRD36C"	0	0	0	0	0	0	0
"LECT2"	0	0	7.63153297530804	0.193249397660123	0	0	0
"EFCAB5"	0.0241436438034354	0.138360025245416	0.0286867528478117	0.0224965484829943	0.407680382835778	0.376625721200435	0.0692480173460285
"PRSS55"	0	0	0	0	0	0	0
"HYAL4"	0.000796062480968757	0	0.00110935304194456	0	0	0	0.00179024520317949
"CCDC65"	0.00869708335987934	0.00668498620887052	0.00184792484005274	0.00842508426427897	0.00434692999247268	0.00747965402094485	0.00120458026043411
"PDE6A"	0.0164662524194267	0.00343259780858296	0.00249330179861679	0.00471714761929033	0.00467888523607553	0.00234390417525908	0.00328399180530386
"SPATA6L"	0.00789548738805725	0.0096264106288094	0.0326059125360588	0.0158322893702888	0.0518421463578997	0.0163512838022943	0.00336030794991458
"SAMD7"	0	0.00294882519278232	0	0	0	0	0
"SHBG"	0.0277506519745526	0.0174516301270954	1.64590155580958	0.0859215844056595	0.00723709436687219	0.0374610329186466	0.0139250383345218
"A4GNT"	0.00155736107320676	0	0.00963411174680342	0	0.00193176363143728	0.00100042888199625	0
"SLC10A5"	0.125263624137399	0.05786296643272	0.37995819816902	0.191281439416142	0.0700336615526157	0.0855809262051207	0.0379850811335198
"PHKG1"	0.00623007545438093	0.490235614518781	0.0420649969937538	1.05534997498304	0.656638644935265	0.00631579441103179	0.0236117244142857
