"Pt22.baseline"	"Pt9.baseline"	"Pt29.baseline"	"Pt10.baseline"	"Pt27B.baseline"	"Pt32.baseline"	"Pt4.baseline"	"Pt6.baseline"	"Pt20.baseline"	"Pt38.baseline"	"Pt1.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt23.baseline"
"MASP1"	0.0979914693021819	0.0603498739871156	0.126312674578969	0.0826026234175734	0.00368768291282576	0	0.0592079694507578	0.00175833603527545	0.0312489337666342	0.0412313922620338	0.106011924366672	0.0071786690553305	0.00576804190529058	0.00793016101182462	0.0102597812185634
"CMA1"	0.33999068560769	0.178164078137997	0	0.00215642027039535	0	0	0	0	0.0103291665305038	0	0.561398830741741	0.0417738394108765	0.0135910104473153	0.38202379572733	0.00313083367850022
"POPDC2"	0.431693117577685	0.34674984901196	0.370204139140226	0.295007601106749	0.0388682076933813	0.445848708771795	0.134781726624875	0.227951359483532	0.49107657934273	1.06284266718776	0.44443710146119	0.155100630989932	0.342573290323414	0.14052976946891	0.628141085230001
"NEGR1"	0.375628916100308	0.129939879547463	0.0162487117223411	0.624516524510576	0.0141631217576397	0.69649004593476	0.00791257216605951	0.0894621513054591	0.0121571621719742	0.0757852122161622	0.188824748053114	0.091867660394478	1.66062869698099	0.0417541162010388	0.0492666105179592
"ADAMTS8"	0.0762384947550122	0.125862065936008	0.0417913265633706	0.0783132398843715	0.0107920803494525	0	0.00852051307028867	0.00963335861366082	0	0.177079730508392	0.0783542082449889	0.0267370665053092	0.0137731854798536	0.00859463678388618	0.0107174184177692
"RAB9B"	0.0959028680255866	0.17770068654427	0.278186346661604	0.470941406471778	0.0779682033555717	0.0654397724211784	0.155394485390437	0.119165268024179	0.128297543100421	0.0771424193646401	0.137738106828703	0.572076743064612	0.111016413940324	0.0080326445511903	0.116900256358437
"GPR17"	0.0236641418408523	0.00426255631507034	0.0213578797960317	0.00757652683632513	0.00311505140984968	0.005137987562762	0.0299663625301851	0.0198439909100966	0	0.010888639262742	0.00726069773608764	0.00782883407258479	0.00306681134444669	0.00983152870608564	0.00377867806150152
"S1PR1"	1.67664284449996	0.520014461629368	0.443936270493188	0.545268835819876	0.295961723551209	0.948542331798497	0.50138138954064	0.75076521143361	0.624600037450843	1.86791508363223	1.28302123444464	0.507361491799326	0.703602718238265	0.68231828932144	1.29600697299529
"CTSG"	1.47268030395956	1.01203358842358	0	0.595025814759692	0.00773372652826305	0.0173738298857786	0.0029538575951844	0.00930496994877898	0	0.452759661236386	2.05137874916966	2.56766664055849	0.298900782199874	1.07490847795953	0.200889291140108
"FMO2"	0.179447276696635	0.0854456053408237	0.457386324170543	0.00593514290842335	0.0138650788819801	0.00108823683490745	0.0304461281128335	0.00143563434109696	0.0748368027726112	0.0586026451265575	0.0945720548941003	0.0401427565897611	0.0572244562216735	0.0528565706038507	0.00323123651386487
"AKAP12"	1.89802890667934	1.16254419574305	1.59953119249905	1.62727637460819	3.14746865271876	0.254743821163563	2.46201219570029	0.185936132831659	2.02026492551439	1.38074574750326	1.22366087227987	1.91241892395659	0.963391480778942	3.40586855884856	0.828737248093578
"ADRA1A"	0.0282784400593865	0	0	0.0100368913699681	0.0025341967396574	0.0780714897555506	0.00706863399276224	0.001556456064573	0.00455493979364785	0.120121087187166	0	0.00227856957524528	0.0103601485384844	0.024037690958147	0.00572431584972315
"PARK2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GLP2R"	0.000558838309158781	0	0.00068644423616264	0.000502695711150483	0	0	0	0	0	0	0	0	0.000541663383450835	0.00083041648141461	0.00134915441716018
"PTGFR"	0.951705353698455	0.757412925513688	0.118756005467965	0.747369659069818	0.091258906514642	1.18829357013791	0	0.313893525390294	0.142240637217549	0.19820719034843	1.56231348378713	0.744834955671421	0.431993467582606	1.48583638582829	0.0785644279825492
"TMEM100"	0.327246062653726	0.14143919515213	0.441329730307301	2.16526289380679	0.0464306081081579	2.34815803614156	0.00694160862731468	0.0155546829295758	0.0997074923900676	0.0641246196163339	0.137569512799459	0.08736367937712	0.0767786469195923	0.171823195871753	0.0382988387078563
"RP5.877J2.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CYP2U1"	1.78921196640022	1.49537682554825	2.53884830446848	0.496012611446349	3.35115494151684	0.682881896332108	2.16549453965825	2.49124440521982	2.00991741194434	1.63935172379549	1.79240121393795	0.320656989056179	1.62764019272053	1.24361246699591	1.71712824045115
"P2RY14"	0.238480188580125	0.0505003210263921	0.161128163497862	0.0123246411392466	0.0274824179145301	0.0197587112447144	0.0355039443327327	0.0190058585843877	0.204399445830503	0.31111595521643	0.152000960634551	0.0569576011068941	0.155922697087271	0.0291963655096834	0.163182170272489
"C11orf96"	6.32090902343117	5.73731802872421	6.09173128271194	6.48873146808625	8.51468611998491	8.03638969744682	7.0138063968362	6.07358055770808	7.35807421937331	9.06830041370603	6.16359639811198	6.50978033543798	5.16705916399246	5.79403814662975	6.67057435927067
"ERVFRD.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TMEM47"	0.580168594267395	0.107878588288727	0.23557322640178	0.679010985683545	0.0775697178127275	0.197018764484596	0.0873669377488415	0.0569600233342035	0.0686086059208585	0.432647348332801	0.35542533138612	0.843479042217183	0.459403150593764	0.126428042634964	0.185724744225282
"RNF112"	0.03440458612574	0.0346872871270164	0.0500347179705564	0.0124090184312281	0.00656320452185893	0.417669396448374	0.0156595846202652	0.00694924268977327	0.00953427569297905	0.0476097450463176	0.0696174576592974	0.022379784285348	0.0311328895508336	0.0118680770568007	0.0195424113877195
