"Pt15.baseline"	"Pt19.baseline"	"Pt1.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt22.baseline"	"Pt27B.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt8.baseline"	"Pt10.baseline"	"Pt32.baseline"	"Pt4.baseline"	"Pt20.baseline"	"Pt38.baseline"	"Pt14.baseline"	"Pt28.baseline"
"CHRNA1"	0.755388686611573	2.3095147943019	0.276368430376495	0.91162875234292	0.381088837424436	0.249220190752006	0.0625324923777676	0.722896946616935	3.09985281302982	0.0364218371626113	0.0868335392263726	7.94895311674223	0.11096664352618	0.230725651839261	1.5607557997255	0.31667176947906	0.0447637143724219
"DES"	2.8396111286573	5.92280391606953	0.959010442334163	0.0726617065385709	0.402473948498068	1.42852238205587	0.12771233362561	0.210428839579872	0.0676025454289563	0.12620295136299	0.240579623184837	1.42169143873398	0.073686134234557	0.0315246671039374	0.629972696309478	0.489185988381158	2.28754976082666
"CTRB2"	0	0	0	0.0216427653150233	0	0	0	0	0	0	0	0	0	0	0	0	0
"SMTNL2"	0.0389759082782061	0.529609683707636	0.0534692276767671	0.0141111020298445	0.0172954253333971	0.0701793418261668	0.00152804466416853	0.00219558620566569	0.00522187000508439	0.00610539076236236	0.0176245991505904	0.0343145566405922	0.0246670302617155	0.0158455799588075	0	0.0186154026216223	0.00280151960833912
"FLNC"	0.111957330983889	1.90673375189629	0.149300043114087	0.0787050423805273	0.206007374546276	0.281857565619373	0.03078712386803	0.00423581208065043	0.0134669990066084	0.0720638953603508	0.066054853337965	0.5250167481258	0.122556006506825	0.0173715377977154	0.0141706023487915	1.42921028676465	0.0876529132797633
"HSPB7"	0.0601536099667246	0.843099244264507	0.0155737355427934	0.014787259604198	0.215873735811467	0.0858298517250112	0.00399003543775377	0	0.00260627645836166	0.127162854339745	0.00448284220379873	0.106723561157334	0.0211387090630962	0.0136177361071782	0.00125449441142828	0.0118559987337831	0.0209404890364638
"RAPSN"	0.0507548474636914	0.28138783569132	0.00275554114414908	0.00161566827436769	0	0.0063333762039926	0.00543021703056742	0	0.0040054247642988	0.0198356052399119	0.00428341648103375	0.0353968504652839	0.0023515370099753	0.0188845060933578	0.0159586337678559	0.00222378116249649	0.0335939292083118
"HRC"	0.0231460926340882	0.119671792052903	0.0098617792285298	0.00317881385362915	0.00828299515848673	0.0305093694041334	0.00142792124702963	0.00331749270970909	0.00386135916345779	0.0104729466460901	0.00124500251886359	0.291619712437409	0.00701682810248974	0.00635205691489253	0.00224053056617527	0.00615831434030938	0.00316814415966321
"CPA1"	0	0.0125674135449421	0.00783123867963975	0.0221128530648559	0.00499455796049235	0.0238379154514501	0.00662478638563912	0	0	0.0156042662991544	0	0	0.0109054650653642	0.0124728853609775	0	0.0277104882419523	0.0268072581215395
"CASQ2"	1.58992611636303	1.92582512059413	0.127587124110324	0.712627268029814	0.0137877639322187	1.49698051894534	0.0303146573684654	0.654608370142034	0.366684673349059	0.0393878045403118	0.0431222070883526	0.0768122167685802	0.0712395063732787	0.411000663916354	0.0540681448484239	0.296790897805559	0.33141386745818
"KLHL31"	0.0125776676277956	0.0439026295446331	0.00731259418983483	0	0.00224336398023302	0.0157294216581309	0.0149173444070407	0.0027210693966553	0.00680817272092406	0.016536405492054	0.0115247792746435	0.0709931458901449	0.0074595655551848	0.01621764875475	0	0.00937616495473369	0.0255526476789637
"HSPB2.C11orf52"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FNDC5"	0.0679655497251517	0.109004391914746	0.0556316183942121	0.110951004069969	0.0517889665439862	0.261423936737	0.0259430106311972	0.0130161606918626	0.00898356967868753	0.0154581128343133	0.0106218042561857	0.52606048026043	0.180536881201205	0.0268858751844595	0.0141481560118127	0.0599474820736242	0.0422796071176813
"MAP3K7CL"	0.613258210065583	0.10696494706797	0.782643871897364	0.68530803337935	1.24930462871387	1.29645000410034	0.156270003553418	0.190308407207176	0.92913237928652	0.791570272329587	1.2657994608566	0.917160607944427	0.866693028212026	0.621271542850138	0.703850422864585	0.971178772965893	0.931721543109831
"MYH3"	0.354134359534038	1.35529613828101	0.0154431201384067	0.00371512576830794	0.0161414915604922	0.0298997535137427	0.0108351303874468	0.00503427307644806	0.0242479582106338	0.0599629375625928	0.0523421891729012	0.120875079654175	0.00403624136970957	0.0559900975502372	0.0881442894224762	0.0423187596194844	0.0648538246923115
"BIN1"	0.0874886547839996	0.243159887976282	0.0437165501716778	0.0884870960685187	0.107365445683228	0.150629543662729	0.0658472118125259	0.00874332578862056	0.115991254132532	0.057441844793994	0.215165215379295	0.26696083923819	0.132290813307751	0.168017757585787	0.506281598033506	0.146899397759982	0.109062620270012
"TPM2"	4.1368077396454	4.83292423636638	2.68495996686968	2.92991661923338	4.4759673717256	4.75217286759862	1.91952268430507	1.55508380842336	1.81166023244823	3.09497426960363	4.19311448707004	4.68539334179621	2.98247887387669	3.08078174747209	2.5063573280518	2.91105180215225	3.19594370503485
"PDLIM3"	2.26690661062777	1.58581859924425	2.42764521270539	3.35565338345648	1.80180586423507	1.00765232396651	1.4852769060622	4.4584417913228	4.32173474212479	3.14389929397587	0.919899264124333	0.899172879794307	0.685584055820712	0.392890376366254	1.06860873316005	0.901836127651699	0.316255904587156
