"Pt38.baseline"	"Pt20.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt6.baseline"
"CD79A"	8.00712847642123	5.52705938200681	0.31233827854667	2.28032493413982	0.459901540004741	1.16089952060568	0.063930753334269	2.25969995966339	0.0190335380203666
"FCRL5"	1.89240900221333	0.737836036554248	0	0.024268941106323	0.00419411887884105	0.0267092007930043	0.000415444294115762	0.159024328053655	0.00106118359234908
"POU2AF1"	4.00588037099906	1.88343185248477	0.0294406759435644	0.228635512694025	0.0143835718163981	0.156303019224719	0.00675120789103877	0.388001165471112	0.00681666598537313
"TNFRSF13B"	0.75468507683105	0.107922052824028	0.00233406794063944	0.0167423251189967	0.00138481120366592	0.00155152377188678	0	0.0195581189960158	0.000263200075693792
"TNFRSF17"	1.88560863116744	3.08366735802671	0	0.36093568942363	0.0378751098756947	0.128516642416881	0.0125384728755345	0.383260333805503	0.00647804599448571
"CD79B"	5.33464536692674	2.40047223870018	1.14406250629034	2.56126717916441	0.273115971500503	0.594252007876236	0.115825965147976	1.08783224850463	0.0651407181122673
"CD27"	1.82314312931079	1.55339659018534	0.261959382983943	0.978337345559319	0.233662984254506	0.173375094549399	0.0934141177755084	0.301310489034169	0.0359942987980615
"IRF4"	1.34296554253216	2.25034703063587	0.792425717854046	1.60199720636023	1.53315207057984	0.0782889161742362	0.0409391592361909	0.536705227478374	2.09735292069302
"FCRL2"	1.58318176633737	0.476430962471911	0.0335356654781377	0.0107651379169646	0.00491772406974759	0.0112589169350071	0.000885592393023244	0.19709149332888	0
"IGLL5"	5.24495776907376	9.1411388366223	0.110171786407386	3.69161364230506	0.340430475389196	1.14469220806043	0.0924081332353032	3.12761177345836	0.0263382177089563
"LAX1"	0.56475222661692	0.56502381685932	0.0363566911416043	0.0402661152517887	0.0540171695677928	0.0547800758334287	0.0238463683455883	0.067984221335068	0.00763715573079296
"LY9"	2.45493931258218	1.5511219489109	0.340083995106278	0.539386761578084	0.270624741769781	0.255986972331024	0.0866506791989494	0.35096698659114	0.0280298083040474
"FCRL4"	0.756011315448911	0.0313597397682191	0	0	0	0.00615298509897195	0.000841386373875681	0.0424961619921476	0
"MZB1"	3.45117428208314	4.96846566162442	0.0444030954266087	2.0438200098045	0.122752506315555	0.437612536685877	0.061521762615997	1.56075150343593	0.0136061955072454
"RP11.330H6.5"	0	0	0	0	0	0	0	0	0
"CPNE5"	1.72528153842617	0.986958886547777	0.40775319591558	0.0887802923984682	0.422097075856193	0.0432416030182621	0.0672601964048651	0.243520299601896	0.0625335741373069
"PIM2"	2.04769661189238	1.42200021427552	0.394245196556869	0.61110782769871	0.25760258149681	0.415254388770603	0.44665327867957	0.696056087366156	0.351213024244201
"STAP1"	1.633177062728	0.150250853461835	0.0465270539645557	0.0333689482468961	0.0105982674165272	0.0162193163137559	0.0291263242409328	0.0287732840129231	0.00183844450776145
"POU2F2"	4.25186778840212	1.32431293834214	0.735150435444121	0.529831005498472	0.501527217797328	0.538483505065957	2.13044052068788	0.40642402678366	0.567134312598148
"KCNA3"	1.57981877080835	1.81798009239919	0.312794652643301	0.209915733953504	0.413585815582186	0.341323419331427	0.19307497805631	0.319258431663042	0.0983816833243243
