"Pt28.baseline"	"Pt1.baseline"	"Pt22.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt32.baseline"	"Pt20.baseline"	"Pt23.baseline"	"Pt27A.baseline"	"Pt38.baseline"	"Pt2.baseline"	"Pt29.baseline"	"Pt9.baseline"	"Pt4.baseline"	"Pt7.baseline"
"FGFBP1"	5.01436206752012	0.00134820107252297	0	0	0.0042122820413282	0	0	0	0.00314041363095389	0	0.00488401614741495	0	0.00321553400075938	0.00807058312873812	0.00290503282126624	0	0
"SPRR3"	2.76960946199328	0	0	0	0	0	0	0	0	0	0.00967277785736316	0	0.0025823226878145	0	0	0	0
"KRT14"	10.3483247692339	0.268942597375607	0.0042193671043168	0.00805301984590791	0.0722216313956885	0.000654760027556222	0.00130753092742395	0	0.110981854944051	0.106271671427575	0.364360084992243	0	0.0616600643587275	0.0655377697227396	3.38258568473125	0.00526851470376088	0.0704069832025413
"GRHL3"	1.17005706666212	0.000292478891686971	0.000960070939131401	0.00233977352793177	0.000500909904957327	0.00120044125489877	0.000323476614915027	0.00092253492275305	0.00891457187807358	0.000874285553224161	0.00154895083261917	0.00350701304999423	0.00132150908164432	0.000456776361834735	0.00134557551609213	0.00158354291008814	0.00102588529932683
"C10orf99"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LGALS7B"	9.41315890576508	0	0	0.554325184174216	1.06985283861792	0.192390915217611	0	0.640955773307064	0	0.174483502996552	0	0	0	0	1.78611356801788	0	0
"PVRL1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CSTA"	8.025824873474	0.700673260785912	1.70436557401615	0.371877260001799	0.389172301329256	1.59667652272562	0.456638357523134	0.417902313892689	0.980040550214815	1.11857660245595	0.659236851183041	2.28549812600529	1.15500154138947	0.641527988806312	0.713021929569415	0.803433655688341	0.185977164957034
"SLC2A1"	3.48324061896273	1.22662950039417	0.557558043301262	2.10111483962295	1.03609200165978	2.21411453722239	3.04801315425722	0.56247407936586	0.64018375860591	0.722391824994409	0.876042400746721	0.982388825400514	0.185214933025755	1.2743705707908	0.713707086687973	0.510186371111354	2.41622658282848
"KRTDAP"	11.3685258662711	0	0	0	0.247668946985409	0	0	0	0.211452226302658	0	0.705651810595979	0	0.105262089419156	0.105486078326127	0.0953910285425238	0.0253050540171946	0.140272962895617
"LYNX1"	5.54326581691578	0.0676872356416678	0.395233503019176	1.03479163493562	0.121002006550251	0.646082090105836	0.0532463076698533	0.0421727725441149	0.315938380671013	0.413680910049819	0.0773184733476469	0.455182464993403	0.589742065546628	0.189891666990208	0.418523367510711	0.0979846845204739	0.175069903963716
"KLK10"	2.73061785425754	0.00534043094848956	0.00050682571935259	0.00251267655480059	0.00169877191818551	0.00101264149268036	0.00305110656934467	0.00135419751376241	0.00205520513195092	0.00128464004554866	0.00183644849410183	0	0.00136784235124991	0.0377789408098025	0.0293494395911486	0	0.00827643585465581
"KRT13"	1.22715757189437	0	0.000491955973646199	0.000413194985273358	0	0.00695640708607521	0	0	0	0	0.00135976222469176	0	0	0.00508301572174078	0	0	0
