"Pt20.baseline"	"Pt25.baseline"	"Pt38.baseline"	"Pt27A.baseline"	"Pt8.baseline"	"Pt1.baseline"	"Pt10.baseline"	"Pt13.baseline"	"Pt22.baseline"	"Pt9.baseline"	"Pt31.baseline"	"Pt19.baseline"
"KIR2DL4"	0.00927522905230438	0.00103405347616023	0.00223456182637354	0.00165776342978831	0.00172505783931037	0.000865047469393962	0.000804872262959413	0.00539287936026829	0.00220865637106274	0	0	0.00130430847237967
"PRF1"	2.00562574613347	1.26882605158502	0.991191879237125	0.511149097263842	0.221286012046861	0.33792506656283	0.0459079267603745	0.54890271265414	0.446139570453633	0.351427732823331	0.819086717424168	0.38272074380621
"ZNF683"	0.672474564811371	0.0579452880189251	0.0619885023046511	0.107268099884462	0.0051177316327283	0.108006981188216	0.00726849917371923	0.0471908617639061	0.222865860600408	0.334075795380587	0.0780254036753256	0.113685250361524
"KIR3DL2"	0.360128986945442	0.127398828621964	0.164414665516034	0.00629422269992113	0.0365422006712476	0.037597105602231	0	0	0.0425757444731357	0.108933335013437	0.0318528885372973	0.0433896700259423
"CD7"	2.1848876398885	1.94436888187006	2.30255304061794	0.768252086839417	0.416986302426078	0.468271055166288	0.0173520018332154	0.945321338456492	0.686018765801112	0.706543664958363	0.962661651682812	1.2396008979178
"GNLY"	0.38703095629498	0.264949061496729	1.487731449323	0.188651153030523	0.130587373069665	0.289737690748894	0.0256499391581534	0.0661609823496801	0.17370518718281	0.46688459556003	0.501899021048626	0.332670984741341
"KIR2DL3"	0.0153110802035813	0.0105729796020686	0	0.00091586040224326	0	0.00432523589086255	0	0	0.000966930837590887	0	0	0
"NCR1"	0.0577564250023346	0.0104914242739136	0.0514523358221885	0.0249146140125628	0.00543757778367017	0.02629758758824	0.00572173796964598	0.0327590034490894	0.0437778923098996	0.0173019393161099	0.0245608909167288	0.00403037998095506
"CD244"	2.24761677198765	0.699249568222606	0.785961858544285	1.62127081194534	0.22933998191984	0.291040405931019	0.0280517294947166	0.598621463991279	0.939215685246172	0.352146860992957	0.206803134621372	0.172854376498978
"KLRD1"	0.365844932303892	0.0472815298640496	0.0754775499502931	0.0659950420050495	0.00952281876826574	0.0257731219607407	0.00664400586285082	0.0271966037733249	0.0360267934401348	0.0455272649005938	0.0313570392618323	0.0062489849753614
"KIR3DL1"	0.00856146432185118	0.00791885673624079	0.0160381058764188	0.00198963198021275	0.00522219443947844	0.00602804662107582	0	0	0	0.0137835733678398	0	0
"CD247"	0.639517222078369	0.274010858163722	0.636289586076433	0.126569491920225	0.0648046418684383	0.171814248930321	0.00687177224864538	0.197510269262934	0.209775434564631	0.195538850803764	0.094977393573652	0.111413988660316
"IL26"	0.0507793986532377	0	0	0.0107783277386692	0	0	0	0.00643403919229431	0.0209738395694275	0.0164693944189152	0	0
"IL18BP"	2.79280966781174	2.26238345480022	1.92628127390862	1.47936162569195	1.44258571934315	0.999393942695599	0.448354755280367	2.0609530582293	1.43991478302241	0.982737043446288	0.893870465264608	1.74751860732649
"CCL8"	2.36717420436649	0.598730444514192	0.337723032181137	0.596755067715281	0.940979463973138	0.479890559715037	0.276124260568629	1.07724186220432	1.32959429079931	0.720045541653957	1.030740518195	0.146536570646035
"TVP23A"	0.0406527999188543	0.0196852352398662	0.115052222656936	0.0742453136623557	0.0320903557237605	0.0102077884429882	0.012020331839779	0.0245609861283267	0.0184853678023855	0.0179572758076313	0.134630561201116	0.0223169714288306
"CCL3L3"	0.55003605827219	0.313157347082667	0.0419972958500851	0.000218215126166616	0.0896454788354573	0.0244998226940338	0.0687215903915503	4.10663455316186e-06	0.236558975166588	0.0576404854793868	0.0705477321031009	0.0631166938370319
"FCGR1A"	2.08494001294641	1.53323349688865	0.443271479491103	1.63047306518854	0.685598130906558	0.541793553998381	0.343198721836033	1.72628252174487	1.04673863225208	0.67424634902121	0.396971384979876	0.664586760890741
"FCER1G"	3.19369649301474	2.73186002850893	2.67087535649106	2.58599937709989	1.86281544958651	2.0718212389353	1.15630680593701	2.64946064494921	2.49334401575108	1.18284294659397	2.01591521575222	2.9692051453565
"GNGT2"	0.395704366628254	0.468587342121334	0.728967754132286	0.228705190715916	0.123128402255489	0.131175957627616	0.0454066368175036	0.376789826102845	0.311602368554562	0.148971883040352	0.10801019661747	0.251324756157568
"TMEM100"	0.0997074923900676	0.113820865586952	0.0641246196163339	0.135945480404974	0.0506342587648002	0.137569512799459	2.16526289380679	0.0767786469195923	0.327246062653726	0.14143919515213	0.0374814877222678	0.056466650800264
"ITLN1"	0.0272700004633792	0.00100209864310308	0	0.0353042392053843	0.00288078339385552	0.001208906534898	0	0.000458232288765788	0.00650291575103993	0.00145206181842045	0	0.00702598655131144
"ITLN2"	0.0284065684844175	0.0128254109379323	0	1.81933233322684	0	0.00249368332605798	0	0	0.00705786790657738	0.00509775901173815	0.0438261402490189	0.12265344647395
"STX11"	0.901749716933193	0.45509168757678	0.935000923009999	0.616772626298431	0.356952676591596	0.374514835822974	0.173261190172124	0.792854535558425	0.672924536470869	0.259689921484567	0.624053926696879	0.496398463677972
"PRX"	0.0964111569455453	0.108721977243504	0.0524615033290111	0.0982529266154609	0.0728611865022696	0.0783426349791116	0.0987863793153462	0.103075344739317	0.0942139506890888	0.0664505574139538	0.0812915300636511	0.196730041801712
"CLDN5"	1.21119188218967	1.32631324580856	2.23171552208537	0.932468374277147	1.20208984052666	1.46008266831263	0.643964236771246	1.02354231533402	1.86377119324641	1.93249422171391	2.31557392169492	0.753730095741151
"RSPO1"	0.000385329535370162	0.00332756774182489	0.0117408500682382	0.000388650030870627	0.000942751621388779	0.00412057537862275	0.00208726908408947	0.00076417233508667	0.00221265194364001	0.0445218533253476	0	0.0170258944933262
"SLC39A8"	5.54701213737293	3.5561860127097	5.93825732327042	5.53087367515884	5.40243462020254	6.13640649930373	5.16728830974263	5.69903468743462	5.94980239361562	5.71676172292616	3.90724155750565	5.02893193269083
"OTUD1"	1.3392978480549	0.890324628216718	1.50496351246328	1.23589065314222	0.757693057367557	1.0678630375721	0.664749427794059	0.886401309738012	1.02082116439906	0.944904060793071	0.555973504403612	1.20567273295306
"RASGRP4"	0.0402865139574269	0.0617022134103893	0.0192458643505094	0.0471020757719494	0.0230498517701739	0.045132790532087	0.0215577021791774	0.0383399517144746	0.0739010620514234	0.026471536583693	0.0218690995940675	0.0349012225147517
"USP2"	0.00714586228313771	0.0165226730522286	0.0397487228953401	0.154726409594501	0.225101270855966	0.0300054281430949	0.09633662737877	0.0618160413284256	0.0656297670812859	0.188222100886002	0.0780098638373708	0.42768128993709
"RXFP1"	0.0270185884911609	0.0100991339148541	0.0177246045573481	0.016101343504794	0.0145440410497269	0.142694775879048	0.0215609474012192	0.022831915392037	0.0271157713775294	0	0.00723670568860084	0
"RGN"	0.0217642601879582	0.0120096859088101	0.0308758528364992	0.00924365382624202	0.0160933861601037	0.0727562083515405	0.0431534031877702	0.013109809477718	0.0417709641818772	0.037538997985212	0	0.00298831935791678
