"Pt20.baseline"	"Pt29.baseline"	"Pt38.baseline"	"Pt2.baseline"	"Pt32.baseline"	"Pt27B.baseline"	"Pt4.baseline"
"CD5"	3.32743731368587	1.71493125311222	3.96750064746218	1.13917804513277	1.00185987723968	0.911101346155321	0.906805955016638
"TESPA1"	1.4990830497414	0.893341628426698	3.37056326867273	0.494504703986157	0.165131145280363	0.282972895749338	0.471926180859947
"GPR174"	2.45416931153283	2.10019892034074	2.94016111127294	1.02103832313291	0.204120679209952	0.46330385703423	0.913787861363332
"CD28"	2.13986400476258	2.45097630441226	2.67064548639627	0.789949967875727	0.385391276246403	0.885635662966694	1.48422064223142
"LTB"	2.87277262628087	1.28836742211553	5.67921546385257	1.05178622975583	1.10528919503914	0.340603284847295	0.818409260996751
"SCML4"	2.11204284796203	0.702969096419113	3.10035873669589	0.551721241011891	0.224345332438596	0.134102824538927	0.460145444903455
"SH2D1A"	4.1237158523813	2.5440822457679	4.16920347352485	1.62197448307073	0.633663696866632	0.822031775714171	1.06044173560669
"PYHIN1"	3.64998327066957	1.76422087145663	3.23120965830877	1.07686278843678	0.333774059982941	1.00518868841318	1.08603301621481
"IKZF1"	3.88557436437143	2.47730171174079	5.49517388208642	1.89432304019369	0.906540459126985	2.07373456002101	1.98822476862655
"UBASH3A"	2.90273446209866	1.03323973458864	2.37939916252558	0.463291823149906	0.423505025968017	0.371501990034304	0.383048416916814
"CD247"	4.46581778323171	2.92096875024775	4.57317454225506	2.14702334258401	1.40483774173434	1.29512349104711	1.95056359528854
"PPP1R16B"	3.22238108583088	2.18249526403445	5.04905130825276	1.43613784751229	0.722695962992086	1.03742088079194	2.8491045511842
"KLRB1"	3.98248711695648	2.99694727587169	4.05607190516211	2.64130093507361	2.29524400553004	1.05799224245411	2.36800420272069
"TIGIT"	4.77349530234493	3.05948161174173	4.60537580326534	1.57437282068645	0.935032722316496	1.37035681306554	1.65479754405284
"CD3G"	3.33834311381032	2.4635152184634	3.82673151364181	1.76530135034588	0.606144656398795	1.14029440475642	1.39118205604377
"SIRPG"	4.63778411029132	2.43852041744227	3.84565062023915	1.62981121597812	0.71733929335662	0.896983234998435	1.14506829738099
"RGL4"	1.75713635277949	1.54593131310609	1.54641790607738	0.863283936727703	1.43983055161101	1.56378535888418	1.08226658160803
"ARRDC5"	0.472137322971399	0.0851156199062587	1.9214629907112	0.0532663743909832	0.211874436821856	0.171771622926564	0.097508860553226
"CD69"	3.92896717679879	2.38628259715507	6.42771845996379	3.94980103668565	0.809711596461648	1.19074126825662	1.34799723964655
"THEMIS"	2.10736481674056	1.35600291515793	1.81431662024673	0.683750343854081	0.121896933325719	0.400840645191063	0.449088542149829
